ts,date,nav,cash,open_positions,realized_pnl
1785104763,2026-07-26,10953.1095,10776.5728,8,948.7388
1785104943,2026-07-26,11005.7260,10854.6056,7,1003.2556
1785105123,2026-07-26,11058.5621,10977.2101,5,1058.9871
1785105303,2026-07-26,11075.7520,10962.2952,7,1076.4792
1785105483,2026-07-26,11071.4340,10966.4600,7,1071.8110
1785105663,2026-07-26,11067.4424,10912.4394,8,1067.7904
1785105844,2026-07-26,11065.7819,10864.6715,9,1066.2385
1785106023,2026-07-26,11125.1827,10972.1452,7,1125.2332
1785106203,2026-07-26,11205.3114,11062.3168,6,1205.3328
1785106383,2026-07-26,11267.7807,11107.8088,6,1267.7948
1785106563,2026-07-26,11338.9304,11174.4436,6,1335.1646
1785106743,2026-07-26,11341.3268,11129.1765,7,1337.3265
1785106923,2026-07-26,11338.9915,11192.3397,6,1337.8227
1785107103,2026-07-26,11411.8690,11358.0606,3,1410.9406
1785107284,2026-07-26,11480.4128,11303.6114,7,1477.8754
1785107464,2026-07-26,12778.4169,12636.1981,5,2775.8711
1785107643,2026-07-26,12779.0177,12618.0439,6,2775.3099
1785107824,2026-07-26,12776.2995,12657.9129,3,2775.5059
1785108003,2026-07-26,12847.5301,12745.1215,4,2846.7365
1785108183,2026-07-26,12851.1041,12730.9113,5,2850.0813
1785108363,2026-07-26,12925.8970,12766.3882,6,2923.1372
1785108543,2026-07-26,12994.7219,12879.4418,5,2993.6978
1785108723,2026-07-26,13073.0849,12911.6409,5,3070.8969
1785108903,2026-07-26,13083.8985,12939.8875,5,3081.7105
1785109083,2026-07-26,13096.8792,12937.2027,6,3093.4827
1785109263,2026-07-26,13166.0783,13030.3589,4,3163.9119
1785109443,2026-07-26,13169.2732,13047.0888,4,3169.4108
1785109624,2026-07-26,13157.7480,12943.8073,8,3157.8953
1785109804,2026-07-26,13178.7902,13012.2329,8,3176.2859
1785109983,2026-07-26,13131.5080,12975.6882,7,3129.0432
1785110164,2026-07-26,13128.6783,12935.7806,7,3126.1456
1785110343,2026-07-26,13081.1862,12925.2656,7,3078.6206
1785110523,2026-07-27,13078.0494,12885.0619,7,3075.4269
1785110703,2026-07-27,13015.5198,12855.4401,5,3010.9581
1785110884,2026-07-27,13005.6189,12818.5349,8,3001.1339
1785111064,2026-07-27,13004.3582,12841.3747,7,3001.6877
1785111244,2026-07-27,12997.5704,12942.5931,5,2997.9441
1785111424,2026-07-27,12984.0650,12920.4165,5,2984.4055
1785111604,2026-07-27,12981.2570,12903.2238,5,2981.4828
1785111785,2026-07-27,12974.7642,12883.1877,5,2974.9767
1785111964,2026-07-27,12974.7942,12834.9035,6,2975.4315
1785112143,2026-07-27,12963.0025,12849.4912,6,2963.6682
1785112323,2026-07-27,12953.9396,12896.9451,6,2954.7021
1785112504,2026-07-27,12946.2608,12871.0799,6,2946.8229
1785112683,2026-07-27,12942.3811,12836.8443,6,2943.0943
1785112863,2026-07-27,12937.0228,12881.4443,5,2937.6943
1785113044,2026-07-27,12953.2353,12794.2811,6,2951.9461
1785113224,2026-07-27,12955.8312,12810.4061,6,2952.3581
1785113402,2026-07-27,12978.1990,12825.7080,6,2974.7690
1785113583,2026-07-27,12987.5640,12914.9952,5,2986.6312
1785113762,2026-07-27,13004.5984,12938.1377,5,3004.7377
1785113943,2026-07-27,13004.6318,12866.4883,6,3003.3383
1785114123,2026-07-27,13060.4678,12924.6000,6,3059.5100
1785114303,2026-07-27,13058.2524,12936.2826,4,3057.2946
1785114482,2026-07-27,13055.0222,12888.4937,7,3054.5547
1785114662,2026-07-27,13139.9936,13031.2054,5,3139.7614
1785114843,2026-07-27,13125.8045,13061.2864,4,3126.1824
1785115023,2026-07-27,13139.2059,13030.2803,5,3138.9203
1785115203,2026-07-27,13131.1430,13054.6248,5,3131.1718
1785115383,2026-07-27,13097.7665,12989.7213,5,3098.1443
1785115563,2026-07-27,13076.3077,12945.7295,4,3076.6855
1785115743,2026-07-27,13085.2260,12935.7586,4,3082.9626
1785115923,2026-07-27,13080.6328,13031.3813,1,3081.3813
1785116103,2026-07-27,13036.3221,13020.4881,1,3036.3221
1785116283,2026-07-27,13036.7465,12949.6541,5,3036.3221
1785116463,2026-07-27,13021.0360,13006.6514,2,3021.2734
1785116643,2026-07-27,13006.9882,12955.4657,4,3007.1637
1785116823,2026-07-27,12997.6292,12983.1451,2,2997.7671
1785117002,2026-07-27,12991.7042,12941.7134,4,2991.7634
1785117183,2026-07-27,12983.1779,12878.1136,7,2984.0166
1785117363,2026-07-27,12991.4600,12880.3157,6,2992.6167
1785117544,2026-07-27,12995.6837,12871.0975,5,2995.3695
1785117724,2026-07-27,13003.3450,12937.0507,4,3002.5257
1785117902,2026-07-27,13004.4216,12885.7219,5,3004.4899
1785118083,2026-07-27,13003.5489,12846.0126,8,3004.1126
1785118263,2026-07-27,13015.7545,12950.1678,5,3016.7848
1785118443,2026-07-27,13016.7528,12901.4862,6,3017.7832
1785118624,2026-07-27,13016.1473,12896.4862,7,3017.7832
1785118802,2026-07-27,13013.7184,12915.3536,6,3015.2766
1785118983,2026-07-27,13008.4975,12791.8146,8,3009.3736
1785119163,2026-07-27,13003.2041,12849.0061,7,3003.9021
1785119343,2026-07-27,13006.4288,12828.2213,9,3007.1183
1785119523,2026-07-27,13002.2540,12848.0475,7,3002.9435
1785119702,2026-07-27,13002.5380,12848.2473,7,3003.1433
1785119883,2026-07-27,13005.4073,12825.3607,6,3006.8257
1785120063,2026-07-27,13004.7250,12743.4620,7,3006.0620
1785120243,2026-07-27,13012.2757,12858.5446,4,3013.5446
1785120423,2026-07-27,13014.3104,12828.6079,6,3012.9209
1785120602,2026-07-27,13022.9133,12941.5231,4,3023.7451
1785120783,2026-07-27,13030.5518,12896.6470,5,3028.8690
1785120963,2026-07-27,13020.1297,12940.8111,4,3020.9361
1785121143,2026-07-27,13021.6275,12917.4339,3,3022.4339
1785121323,2026-07-27,13022.7574,12866.1007,4,3021.7337
1785121502,2026-07-27,13019.7879,12825.6096,5,3018.0676
1785121683,2026-07-27,13020.9044,12946.8324,3,3020.9044
1785122043,2026-07-27,13033.5214,12877.3646,5,3034.1896
1785122402,2026-07-27,13054.1154,12916.0313,7,3054.8293
1785122584,2026-07-27,13066.3903,12978.9891,6,3066.2991
1785122763,2026-07-27,13069.3253,12885.3493,9,3068.6883
1785122943,2026-07-27,13066.6954,13003.8909,6,3066.3379
1785123122,2026-07-27,13063.3414,13015.5213,6,3062.2273
1785123303,2026-07-27,13095.0670,12921.9828,9,3095.1268
1785123663,2026-07-27,13100.8804,12975.4409,6,3101.1159
1785124023,2026-07-27,13117.3302,12903.8093,8,3116.8103
1785124203,2026-07-27,13156.4383,12936.0890,8,3155.9150
1785124383,2026-07-27,13144.0950,12950.0922,6,3144.4332
1785124563,2026-07-27,13136.1717,12911.1355,6,3136.0475
1785124743,2026-07-27,13135.2025,12978.6821,5,3136.5611
1785124923,2026-07-27,13149.3189,12895.6597,8,3149.9307
1785125103,2026-07-27,13166.5535,12975.1434,7,3165.9754
1785125283,2026-07-27,13172.4015,12970.0851,6,3170.2281
1785125462,2026-07-27,13197.0826,12969.0405,7,3194.7875
1785125643,2026-07-27,13205.6930,13047.0396,6,3204.0126
1785125823,2026-07-27,13227.2206,13010.8370,5,3227.5920
1785126003,2026-07-27,13218.6256,12998.7224,6,3216.9344
1785126183,2026-07-27,13223.6790,13019.8135,7,3222.6445
1785126363,2026-07-27,13244.6057,13022.7514,7,3243.5174
1785126544,2026-07-27,13247.3583,13003.1117,7,3246.4777
1785126723,2026-07-27,13248.7086,13075.5211,7,3246.7361
1785126903,2026-07-27,13242.9571,13039.5478,8,3242.9138
1785127083,2026-07-27,13251.2516,13058.9639,8,3251.5359
1785127262,2026-07-27,13262.4732,13063.9810,7,3262.3470
1785127444,2026-07-27,13258.3411,13040.6614,7,3257.9234
1785127623,2026-07-27,13243.6557,13104.0078,4,3242.3738
1785127803,2026-07-27,13249.3115,13080.2374,5,3247.5714
1785127983,2026-07-27,13251.1616,13106.5433,5,3249.9093
1785128162,2026-07-27,13261.8167,13091.5454,5,3260.5644
1785128343,2026-07-27,13254.8674,12987.9335,6,3251.9525
1785128524,2026-07-27,13243.4036,12949.5558,8,3240.9098
1785128703,2026-07-27,13248.5284,12996.8599,7,3249.4709
1785128884,2026-07-27,13252.9197,13075.7808,5,3253.3978
1785129063,2026-07-27,13284.3989,13104.2277,5,3281.8447
1785129243,2026-07-27,13334.1351,13179.3302,4,3334.3302
1785129603,2026-07-27,13389.8331,13215.9781,5,3390.6531
1785129783,2026-07-27,13461.1968,13317.7509,5,3462.0169
1785129963,2026-07-27,13565.1107,13437.2997,5,3565.9307
1785130144,2026-07-27,13571.4285,13383.8041,7,3571.2951
1785130323,2026-07-27,13586.8479,13418.6680,8,3588.3490
1785130503,2026-07-27,13606.7332,13515.4447,4,3608.4247
1785130683,2026-07-27,13619.8364,13450.5697,5,3621.3847
1785130863,2026-07-27,13619.2516,13431.8615,7,3620.7835
1785131044,2026-07-27,13608.6590,13412.3334,6,3610.7894
1785131223,2026-07-27,13603.7302,13440.8456,6,3605.8606
1785131403,2026-07-27,13587.3965,13364.7065,8,3589.5915
1785131583,2026-07-27,13579.8130,13420.1429,8,3581.1449
1785131763,2026-07-27,13569.3377,13412.4435,9,3570.4505
1785131944,2026-07-27,13570.7944,13364.3215,10,3571.7365
1785132123,2026-07-27,13571.7659,13419.5413,8,3571.9563
1785132304,2026-07-27,13568.5817,13369.5001,9,3569.0491
1785132484,2026-07-27,13566.2472,13382.2045,9,3566.7325
1785132663,2026-07-27,13615.7056,13447.7797,7,3615.8377
1785132843,2026-07-27,13631.1688,13463.1672,7,3631.2252
1785133023,2026-07-27,13650.1146,13429.5055,7,3648.5735
1785133203,2026-07-27,13639.5294,13513.7959,6,3637.8639
1785133383,2026-07-27,13646.0445,13470.9806,6,3644.2766
1785133563,2026-07-27,13684.5248,13513.3027,7,3682.9127
1785133743,2026-07-27,13682.6225,13446.6114,8,3679.3654
1785133924,2026-07-27,13678.8724,13512.7296,6,3677.8806
1785134103,2026-07-27,13677.1777,13514.4553,5,3677.1163
1785134284,2026-07-27,13686.3166,13522.4938,6,3685.1168
1785134466,2026-07-27,13676.7835,13535.9723,4,3677.0263
1785134643,2026-07-27,13675.5368,13552.1704,3,3674.7044
1785134824,2026-07-27,13673.4273,13602.4114,2,3674.9454
1785135003,2026-07-27,13671.8812,13600.8653,2,3673.3993
1785135183,2026-07-27,13672.8724,13601.8565,2,3674.3905
1785135364,2026-07-27,13671.9713,13477.8035,7,3674.3905
1785135544,2026-07-27,13680.3325,13538.9925,5,3683.0935
1785135723,2026-07-27,13680.0622,13481.9345,7,3683.0935
1785135903,2026-07-27,13680.3140,13494.4287,5,3683.5297
1785136083,2026-07-27,13687.2644,13481.9404,8,3690.3114
1785136264,2026-07-27,13695.1911,13561.7931,6,3697.6301
1785136443,2026-07-27,13703.4162,13604.1432,5,3705.2102
1785136623,2026-07-27,13703.2586,13556.0387,6,3704.9467
1785136804,2026-07-27,13692.7030,13495.6150,7,3694.5230
1785136983,2026-07-27,13677.2522,13495.4799,6,3678.9499
1785137162,2026-07-27,13664.6026,13519.5985,5,3667.4405
1785137343,2026-07-27,13662.4448,13545.0570,4,3662.7910
1785137522,2026-07-27,13650.1510,13599.3533,1,3649.3533
1785137702,2026-07-27,13653.7297,13528.1248,4,3653.3508
1785137883,2026-07-27,13637.8803,13455.1177,6,3636.3177
1785138063,2026-07-27,13617.1977,13373.9888,7,3616.4328
1785138242,2026-07-27,13599.1392,13388.1321,7,3599.1561
1785138422,2026-07-27,13584.4643,13394.3958,7,3584.7468
1785138603,2026-07-27,13592.5090,13420.3593,4,3592.5943
1785138783,2026-07-27,13666.5283,13422.9627,7,3666.8197
1785139143,2026-07-27,13690.7071,13517.0390,5,3690.6670
1785139503,2026-07-27,14728.1177,14558.7769,6,4728.0499
1785139862,2026-07-27,14736.7031,14541.5083,7,4738.2913
1785140223,2026-07-27,14808.8177,14603.7726,6,4808.4846
1785140403,2026-07-27,14843.8354,14703.4035,5,4843.1375
1785140583,2026-07-27,14811.9479,14642.9950,6,4810.8820
1785140762,2026-07-27,14774.6199,14627.8941,7,4775.0591
1785140943,2026-07-27,14794.9416,14612.6100,8,4797.1590
1785141123,2026-07-27,14768.3113,14592.4332,8,4770.6552
1785141303,2026-07-27,14787.5668,14623.9523,6,4789.9973
1785141483,2026-07-27,14763.4920,14656.2256,5,4764.7206
