ts,date,nav,core,tge,satellite
1784869453,2026-07-24,10000.00,6000.00,2500.00,1500.00
1784869542,2026-07-24,10000.00,6000.00,2500.00,1500.00
1784869574,2026-07-24,10000.00,6000.00,2500.00,1500.00
1784869648,2026-07-24,10000.00,6000.00,2500.00,1500.00
1784931468,2026-07-24,10000.00,6000.00,2500.00,1500.00
1784953141,2026-07-25,10000.00,6000.00,2500.00,1500.00
1784973455,2026-07-25,10000.00,6000.00,2500.00,1500.00
1785007278,2026-07-25,10000.00,6000.00,2500.00,1500.00
