[19:14:56] === G9rJs6Kv 高密度崩盘取证监控启动 ===
[19:14:56] 基线: 价格$0.01319700 流动性$260,918
[20:21:23] 价格$0.01371393  流动性$267,377(峰值$273,303)  已存档174笔逐笔  操盘方卖出比例=95.3%
[20:22:24] 价格$0.01402123  流动性$269,484(峰值$273,303)  已存档180笔逐笔
[20:23:24] 价格$0.01409717  流动性$270,517(峰值$273,303)  已存档183笔逐笔
[20:24:26] 价格$0.01423555  流动性$271,939(峰值$273,303)  已存档196笔逐笔
[20:25:26] 价格$0.01440483  流动性$273,582(峰值$273,582)  已存档174笔逐笔
[20:26:27] 价格$0.01450747  流动性$274,726(峰值$274,726)  已存档165笔逐笔  操盘方卖出比例=93.7%
[20:27:28] 价格$0.01477125  流动性$276,485(峰值$276,485)  已存档184笔逐笔
[20:28:29] 价格$0.01514965  流动性$280,290(峰值$280,290)  已存档168笔逐笔
[20:29:30] 价格$0.01532752  流动性$280,920(峰值$280,920)  已存档186笔逐笔
[20:30:31] 价格$0.01532752  流动性$280,920(峰值$280,920)  已存档179笔逐笔
[20:31:32] 价格$0.01572041  流动性$285,391(峰值$285,391)  已存档186笔逐笔  操盘方卖出比例=89.7%
[20:32:33] 价格$0.01587137  流动性$286,796(峰值$286,796)  已存档193笔逐笔
[20:33:34] 价格$0.01613632  流动性$288,645(峰值$288,645)  已存档165笔逐笔
[20:34:34] 价格$0.01639603  流动性$291,551(峰值$291,551)  已存档189笔逐笔
[20:35:35] 价格$0.01639603  流动性$291,551(峰值$291,551)  已存档179笔逐笔
[20:36:36] 价格$0.01688225  流动性$295,060(峰值$295,060)  已存档180笔逐笔  操盘方卖出比例=86.9%
