[02:48:29] === 2AbGRmWy 高密度崩盘取证监控启动 ===
[02:48:30] 基线: 价格$0.00064757 流动性$56,921
[03:55:00] 价格$0.00087106  流动性$65,874(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.6%
[03:56:01] 价格$0.00087106  流动性$65,874(峰值$66,189)  已存档300笔逐笔
[03:57:02] 价格$0.00086536  流动性$65,461(峰值$66,189)  已存档300笔逐笔
[03:58:03] 价格$0.00087355  流动性$65,975(峰值$66,189)  已存档300笔逐笔
[03:59:04] 价格$0.00087355  流动性$65,975(峰值$66,189)  已存档300笔逐笔
[04:00:05] 价格$0.00085738  流动性$65,423(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.6%
[04:01:06] 价格$0.00084594  流动性$65,570(峰值$66,189)  已存档300笔逐笔
[04:02:07] 价格$0.00079269  流动性$63,137(峰值$66,189)  已存档300笔逐笔
[04:03:09] 价格$0.00079692  流动性$63,066(峰值$66,189)  已存档300笔逐笔
[04:04:10] 价格$0.00078264  流动性$62,933(峰值$66,189)  已存档300笔逐笔
[04:05:11] 价格$0.00078264  流动性$62,933(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.6%
[04:06:12] 价格$0.00078892  流动性$62,770(峰值$66,189)  已存档300笔逐笔
[04:07:13] 价格$0.00078892  流动性$62,770(峰值$66,189)  已存档300笔逐笔
[04:08:14] 价格$0.00079462  流动性$62,825(峰值$66,189)  已存档300笔逐笔
[04:09:15] 价格$0.00080086  流动性$63,366(峰值$66,189)  已存档300笔逐笔
[04:10:16] 价格$0.00080086  流动性$63,366(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.6%
[04:11:17] 价格$0.00079896  流动性$63,393(峰值$66,189)  已存档300笔逐笔
[04:12:19] 价格$0.00080247  流动性$63,442(峰值$66,189)  已存档300笔逐笔
[04:13:20] 价格$0.00079769  流动性$63,351(峰值$66,189)  已存档300笔逐笔
[04:14:22] 价格$0.00079769  流动性$63,351(峰值$66,189)  已存档300笔逐笔
[04:15:24] 价格$0.00079715  流动性$63,271(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.6%
[04:16:27] 价格$0.00079741  流动性$63,361(峰值$66,189)  已存档300笔逐笔
[04:17:28] 价格$0.00080257  流动性$63,295(峰值$66,189)  已存档300笔逐笔
[04:18:30] 价格$0.00080022  流动性$63,409(峰值$66,189)  已存档300笔逐笔
[04:19:31] 价格$0.00080022  流动性$63,409(峰值$66,189)  已存档300笔逐笔
[04:20:36] 价格$0.00080507  流动性$63,401(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.6%
[04:21:37] 价格$0.00081902  流动性$63,468(峰值$66,189)  已存档300笔逐笔
[04:22:38] 价格$0.00081902  流动性$63,468(峰值$66,189)  已存档300笔逐笔
