[05:28:07] === 6bM4YoFe 高密度崩盘取证监控启动 ===
[05:28:07] 基线: 价格$0.00001499 流动性$12,837
[06:34:32] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:35:33] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:36:33] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:37:34] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:38:34] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:39:35] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:40:45] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:41:45] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:42:46] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:43:47] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:44:47] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:45:48] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:46:48] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:47:49] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:48:49] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:49:50] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:50:50] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:51:51] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[06:52:52] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[06:53:52] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[06:54:53] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:55:53] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[06:56:54] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[06:57:54] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[06:58:55] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[06:59:56] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:00:56] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:01:57] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:02:57] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:03:58] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:04:59] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:06:00] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:07:00] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:08:01] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:09:02] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:10:03] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:11:04] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:12:05] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:13:06] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:14:06] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:15:07] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:16:08] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:17:09] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:18:09] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:19:10] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:20:11] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:21:11] 价格$0.00001499  流动性$12,810(峰值$12,837)  已存档51笔逐笔
[07:22:12] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:23:13] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:24:13] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:25:14] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:26:15] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:27:16] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:28:16] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:29:17] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:30:18] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:31:19] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:32:19] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:33:20] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:34:20] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:35:21] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:36:22] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:37:22] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:38:23] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:39:24] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:40:24] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:41:25] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:42:26] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:43:26] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:44:27] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:45:27] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:46:29] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:47:29] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:48:30] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:49:30] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔
[07:50:31] 价格$0.00001499  流动性$12,774(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:51:32] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[07:52:33] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[07:53:33] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[07:54:34] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[07:55:35] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[07:56:36] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[07:57:36] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[07:58:37] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[07:59:38] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[08:00:38] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[08:01:39] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[08:02:40] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[08:03:41] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[08:04:41] 价格$0.00001499  流动性$12,744(峰值$12,837)  已存档51笔逐笔
[09:10:33] 价格$0.00001499  流动性$12,721(峰值$12,837)  已存档51笔逐笔
[09:11:34] 价格$0.00001499  流动性$12,721(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[09:12:35] 价格$0.00001499  流动性$12,721(峰值$12,837)  已存档51笔逐笔
[09:13:35] 价格$0.00001499  流动性$12,721(峰值$12,837)  已存档51笔逐笔
[09:14:36] 价格$0.00001499  流动性$12,721(峰值$12,837)  已存档51笔逐笔
[09:15:36] 价格$0.00001499  流动性$12,721(峰值$12,837)  已存档51笔逐笔
