[17:15:30] === 9vQ5HCzh 高密度崩盘取证监控启动 ===
[17:15:30] 基线: 价格$0.00006497 流动性$1,540
[18:21:43] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[18:22:43] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:23:44] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:24:44] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:25:44] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:26:45] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[18:27:45] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:28:45] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:29:45] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:30:46] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:31:46] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[18:32:46] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:33:46] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:34:47] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:35:47] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:36:47] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[18:37:48] 价格$0.00006497  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:38:48] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档2笔逐笔
[18:39:48] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:40:48] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:41:49] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[18:42:49] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:43:49] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:44:50] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:45:50] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:46:50] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[18:47:50] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:48:51] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:49:51] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:50:51] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:51:52] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[18:52:52] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[18:53:52] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[18:54:52] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[18:55:52] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[18:56:53] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[18:57:53] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[18:58:53] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[18:59:54] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:00:54] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:01:54] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:02:55] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:03:55] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:04:55] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:05:55] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:06:56] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:07:56] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:08:56] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:09:57] 价格$0.00006513  流动性$1,547(峰值$1,553)  已存档0笔逐笔
[19:10:57] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:11:57] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:12:58] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:13:58] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:14:58] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:15:59] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:16:59] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:17:59] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:18:59] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:20:00] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:21:00] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:22:00] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:23:01] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
