[05:39:33] === AdtwHUWE 高密度崩盘取证监控启动 ===
[05:39:33] 基线: 价格$0.00873148 流动性$210,765
[06:46:25] 价格$0.01002476  流动性$226,614(峰值$226,704)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:47:26] 价格$0.01002476  流动性$226,614(峰值$226,704)  已存档300笔逐笔
[06:48:27] 价格$0.01006536  流动性$227,190(峰值$227,190)  已存档300笔逐笔
[06:49:27] 价格$0.01010107  流动性$227,507(峰值$227,507)  已存档300笔逐笔
[06:50:28] 价格$0.01011451  流动性$227,938(峰值$227,938)  已存档300笔逐笔
[06:51:29] 价格$0.01006629  流动性$227,646(峰值$227,938)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:52:30] 价格$0.01012546  流动性$227,775(峰值$227,938)  已存档300笔逐笔
[06:53:32] 价格$0.01013578  流动性$227,154(峰值$227,938)  已存档300笔逐笔
[06:54:33] 价格$0.01013578  流动性$227,154(峰值$227,938)  已存档300笔逐笔
[06:55:35] 价格$0.01018903  流动性$228,279(峰值$228,279)  已存档300笔逐笔
[06:56:36] 价格$0.01018903  流动性$228,279(峰值$228,279)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:57:38] 价格$0.01020833  流动性$228,411(峰值$228,411)  已存档300笔逐笔
[06:58:39] 价格$0.01025762  流动性$228,524(峰值$228,524)  已存档300笔逐笔
[06:59:40] 价格$0.01028476  流动性$229,742(峰值$229,742)  已存档300笔逐笔
[07:00:40] 价格$0.01032852  流动性$230,147(峰值$230,147)  已存档300笔逐笔
[07:01:42] 价格$0.01034326  流动性$230,479(峰值$230,479)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:02:43] 价格$0.01029948  流动性$230,551(峰值$230,551)  已存档300笔逐笔
[07:03:44] 价格$0.01029948  流动性$230,551(峰值$230,551)  已存档300笔逐笔
[07:04:45] 价格$0.01039030  流动性$230,288(峰值$230,551)  已存档300笔逐笔
[07:05:46] 价格$0.01042166  流动性$231,493(峰值$231,493)  已存档300笔逐笔
[07:06:47] 价格$0.01042166  流动性$231,493(峰值$231,493)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:07:48] 价格$0.01037738  流动性$231,495(峰值$231,495)  已存档300笔逐笔
[07:08:49] 价格$0.01037738  流动性$231,495(峰值$231,495)  已存档300笔逐笔
[07:09:50] 价格$0.01042168  流动性$231,894(峰值$231,894)  已存档300笔逐笔
[07:10:52] 价格$0.01049038  流动性$231,938(峰值$231,938)  已存档300笔逐笔
[07:11:54] 价格$0.01049038  流动性$231,938(峰值$231,938)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:12:55] 价格$0.01051158  流动性$231,760(峰值$231,938)  已存档300笔逐笔
[07:13:56] 价格$0.01045443  流动性$232,065(峰值$232,065)  已存档300笔逐笔
[07:14:58] 价格$0.01053770  流动性$232,056(峰值$232,065)  已存档300笔逐笔
[07:16:00] 价格$0.01050162  流动性$232,633(峰值$232,633)  已存档300笔逐笔
[07:17:01] 价格$0.01050162  流动性$232,633(峰值$232,633)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:18:03] 价格$0.01059049  流动性$233,188(峰值$233,188)  已存档300笔逐笔
[07:19:04] 价格$0.01062162  流动性$233,350(峰值$233,350)  已存档300笔逐笔
[07:20:05] 价格$0.01062293  流动性$233,213(峰值$233,350)  已存档300笔逐笔
[07:21:07] 价格$0.01059229  流动性$233,506(峰值$233,506)  已存档300笔逐笔
[07:22:08] 价格$0.01062087  流动性$233,306(峰值$233,506)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:23:09] 价格$0.01063003  流动性$233,400(峰值$233,506)  已存档300笔逐笔
[07:24:10] 价格$0.01064727  流动性$234,131(峰值$234,131)  已存档300笔逐笔
[07:25:12] 价格$0.01070589  流动性$233,816(峰值$234,131)  已存档300笔逐笔
[07:26:13] 价格$0.01071201  流动性$233,935(峰值$234,131)  已存档300笔逐笔
