[06:09:33] === 3CyCyaMY 高密度崩盘取证监控启动 ===
[06:09:34] 基线: 价格$0.01915719 流动性$313,457
[07:16:09] 价格$0.02859610  流动性$383,437(峰值$383,437)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:17:10] 价格$0.02886891  流动性$385,642(峰值$385,642)  已存档300笔逐笔
[07:18:11] 价格$0.02902278  流动性$386,732(峰值$386,732)  已存档300笔逐笔
[07:19:12] 价格$0.02918062  流动性$387,632(峰值$387,632)  已存档300笔逐笔
[07:20:14] 价格$0.02930338  流动性$388,088(峰值$388,088)  已存档300笔逐笔
[07:21:15] 价格$0.02930338  流动性$388,088(峰值$388,088)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:22:16] 价格$0.02964574  流动性$390,586(峰值$390,586)  已存档300笔逐笔
[07:23:17] 价格$0.02973889  流动性$391,206(峰值$391,206)  已存档300笔逐笔
[07:24:18] 价格$0.02998187  流动性$392,143(峰值$392,143)  已存档300笔逐笔
[07:25:20] 价格$0.03011471  流动性$393,418(峰值$393,418)  已存档300笔逐笔
[07:26:21] 价格$0.03021264  流动性$393,895(峰值$393,895)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:27:22] 价格$0.03021264  流动性$393,895(峰值$393,895)  已存档300笔逐笔
[07:28:24] 价格$0.03083087  流动性$397,660(峰值$397,660)  已存档300笔逐笔
[07:29:25] 价格$0.03100886  流动性$399,083(峰值$399,083)  已存档300笔逐笔
[07:30:26] 价格$0.03120912  流动性$400,323(峰值$400,323)  已存档300笔逐笔
[07:31:27] 价格$0.03120912  流动性$400,323(峰值$400,323)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:32:28] 价格$0.03157402  流动性$402,698(峰值$402,698)  已存档300笔逐笔
[07:33:30] 价格$0.03220266  流动性$405,640(峰值$405,640)  已存档300笔逐笔
[07:34:31] 价格$0.03233481  流动性$407,256(峰值$407,256)  已存档300笔逐笔
[07:35:32] 价格$0.03233481  流动性$407,256(峰值$407,256)  已存档300笔逐笔
[07:36:33] 价格$0.03258249  流动性$408,857(峰值$408,857)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:37:37] 价格$0.03272689  流动性$409,837(峰值$409,837)  已存档300笔逐笔
[07:38:38] 价格$0.03272689  流动性$409,837(峰值$409,837)  已存档300笔逐笔
[07:39:39] 价格$0.03301439  流动性$410,367(峰值$410,367)  已存档300笔逐笔
[07:40:40] 价格$0.03323161  流动性$412,874(峰值$412,874)  已存档300笔逐笔
[07:41:42] 价格$0.03341010  流动性$413,841(峰值$413,841)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:42:43] 价格$0.03341010  流动性$413,841(峰值$413,841)  已存档300笔逐笔
[07:43:43] 价格$0.03381899  流动性$416,586(峰值$416,586)  已存档300笔逐笔
[07:44:44] 价格$0.03395721  流动性$416,997(峰值$416,997)  已存档300笔逐笔
[07:45:45] 价格$0.03413383  流动性$418,340(峰值$418,340)  已存档300笔逐笔
[07:46:47] 价格$0.03428366  流动性$419,393(峰值$419,393)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:47:48] 价格$0.03455680  流动性$420,806(峰值$420,806)  已存档300笔逐笔
[07:48:49] 价格$0.03455680  流动性$420,806(峰值$420,806)  已存档300笔逐笔
[07:49:50] 价格$0.03487474  流动性$423,598(峰值$423,598)  已存档300笔逐笔
[07:50:51] 价格$0.03505721  流动性$424,227(峰值$424,227)  已存档300笔逐笔
[07:51:52] 价格$0.03551471  流动性$427,114(峰值$427,114)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:52:53] 价格$0.03551471  流动性$427,114(峰值$427,114)  已存档300笔逐笔
[07:53:54] 价格$0.03660764  流动性$434,014(峰值$434,014)  已存档300笔逐笔
[07:54:55] 价格$0.03660764  流动性$434,014(峰值$434,014)  已存档300笔逐笔
[07:55:56] 价格$0.03701203  流动性$436,668(峰值$436,668)  已存档300笔逐笔
[07:56:58] 价格$0.03716771  流动性$437,114(峰值$437,114)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:57:58] 价格$0.03716771  流动性$437,114(峰值$437,114)  已存档300笔逐笔
[07:59:00] 价格$0.03757313  流动性$438,388(峰值$438,388)  已存档300笔逐笔
[08:00:01] 价格$0.03757313  流动性$438,388(峰值$438,388)  已存档300笔逐笔
[08:01:02] 价格$0.03795678  流动性$441,654(峰值$441,654)  已存档300笔逐笔
[08:02:03] 价格$0.03795678  流动性$441,654(峰值$441,654)  已存档300笔逐笔  操盘方卖出比例=0.0%
[08:03:05] 价格$0.03838561  流动性$444,312(峰值$444,312)  已存档300笔逐笔
[08:04:06] 价格$0.03863309  流动性$445,626(峰值$445,626)  已存档300笔逐笔
