[01:52:49] === H5z35oPW 高密度崩盘取证监控启动 ===
[01:52:50] 基线: 价格$0.00704917 流动性$190,454
[02:59:21] 价格$0.00721946  流动性$192,511(峰值$193,253)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:00:22] 价格$0.00718461  流动性$192,589(峰值$193,253)  已存档300笔逐笔
[03:01:23] 价格$0.00722158  流动性$192,409(峰值$193,253)  已存档300笔逐笔
[03:02:24] 价格$0.00722158  流动性$192,409(峰值$193,253)  已存档300笔逐笔
[03:03:25] 价格$0.00721783  流动性$192,827(峰值$193,253)  已存档300笔逐笔
[03:04:26] 价格$0.00721783  流动性$192,827(峰值$193,253)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:05:27] 价格$0.00717178  流动性$192,340(峰值$193,253)  已存档300笔逐笔
[03:06:28] 价格$0.00720644  流动性$192,170(峰值$193,253)  已存档300笔逐笔
[03:07:29] 价格$0.00721481  流动性$192,261(峰值$193,253)  已存档300笔逐笔
[03:08:30] 价格$0.00721315  流动性$192,335(峰值$193,253)  已存档300笔逐笔
[03:09:31] 价格$0.00721663  流动性$192,340(峰值$193,253)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:10:33] 价格$0.00717743  流动性$192,926(峰值$193,253)  已存档300笔逐笔
[03:11:34] 价格$0.00717569  流动性$192,702(峰值$193,253)  已存档300笔逐笔
[03:12:35] 价格$0.00716539  流动性$192,125(峰值$193,253)  已存档300笔逐笔
[03:13:36] 价格$0.00716539  流动性$192,125(峰值$193,253)  已存档300笔逐笔
[03:14:37] 价格$0.00720331  流动性$192,744(峰值$193,253)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:15:38] 价格$0.00721430  流动性$192,772(峰值$193,253)  已存档300笔逐笔
[03:16:39] 价格$0.00717342  流动性$192,095(峰值$193,253)  已存档300笔逐笔
[03:17:40] 价格$0.00720033  流动性$192,136(峰值$193,253)  已存档300笔逐笔
[03:18:41] 价格$0.00716522  流动性$192,128(峰值$193,253)  已存档300笔逐笔
[03:19:43] 价格$0.00720299  流动性$192,515(峰值$193,253)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:20:44] 价格$0.00720881  流动性$192,721(峰值$193,253)  已存档300笔逐笔
[03:21:45] 价格$0.00721664  流动性$192,299(峰值$193,253)  已存档300笔逐笔
[03:22:45] 价格$0.00721664  流动性$192,299(峰值$193,253)  已存档300笔逐笔
[03:23:46] 价格$0.00717842  流动性$192,969(峰值$193,253)  已存档300笔逐笔
[03:25:05] 价格$0.00717842  流动性$192,969(峰值$193,253)  已存档0笔逐笔  操盘方卖出比例=1.2%
[03:26:06] 价格$0.00721777  流动性$192,869(峰值$193,253)  已存档300笔逐笔
[03:27:08] 价格$0.00721777  流动性$192,869(峰值$193,253)  已存档300笔逐笔
[03:28:09] 价格$0.00717364  流动性$192,361(峰值$193,253)  已存档300笔逐笔
[03:29:10] 价格$0.00717364  流动性$192,361(峰值$193,253)  已存档300笔逐笔
[03:30:11] 价格$0.00721301  流动性$192,676(峰值$193,253)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:31:12] 价格$0.00720965  流动性$192,652(峰值$193,253)  已存档300笔逐笔
[03:32:13] 价格$0.00720965  流动性$192,652(峰值$193,253)  已存档300笔逐笔
[03:33:14] 价格$0.00716932  流动性$192,168(峰值$193,253)  已存档300笔逐笔
[03:34:15] 价格$0.00721565  流动性$192,804(峰值$193,253)  已存档300笔逐笔
[03:35:16] 价格$0.00717223  流动性$192,683(峰值$193,253)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:36:18] 价格$0.00717673  流动性$192,137(峰值$193,253)  已存档300笔逐笔
[03:37:19] 价格$0.00717571  流动性$192,261(峰值$193,253)  已存档300笔逐笔
[03:38:23] 价格$0.00717342  流动性$192,262(峰值$193,253)  已存档300笔逐笔
[03:39:25] 价格$0.00718438  流动性$192,838(峰值$193,253)  已存档300笔逐笔
[03:40:26] 价格$0.00718438  流动性$192,838(峰值$193,253)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:41:27] 价格$0.00722637  流动性$192,903(峰值$193,253)  已存档300笔逐笔
[03:42:28] 价格$0.00722637  流动性$192,903(峰值$193,253)  已存档300笔逐笔
[03:43:29] 价格$0.00730183  流动性$194,058(峰值$194,058)  已存档300笔逐笔
[03:44:30] 价格$0.00732078  流动性$194,243(峰值$194,243)  已存档300笔逐笔
[03:45:31] 价格$0.00729838  流动性$193,903(峰值$194,243)  已存档300笔逐笔  操盘方卖出比例=1.1%
[03:46:32] 价格$0.00732706  流动性$194,263(峰值$194,263)  已存档300笔逐笔
[03:47:33] 价格$0.00738142  流动性$194,997(峰值$194,997)  已存档300笔逐笔
[03:48:34] 价格$0.00737129  流动性$195,404(峰值$195,404)  已存档300笔逐笔
[03:49:35] 价格$0.00737129  流动性$195,404(峰值$195,404)  已存档300笔逐笔
[03:50:36] 价格$0.00748474  流动性$195,697(峰值$195,697)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:51:37] 价格$0.00748474  流动性$195,697(峰值$195,697)  已存档300笔逐笔
[03:52:38] 价格$0.00745368  流动性$196,186(峰值$196,186)  已存档300笔逐笔
[03:53:39] 价格$0.00745368  流动性$196,186(峰值$196,186)  已存档300笔逐笔
[03:54:40] 价格$0.00746501  流动性$196,216(峰值$196,216)  已存档300笔逐笔
[03:55:42] 价格$0.00746501  流动性$196,216(峰值$196,216)  已存档300笔逐笔  操盘方卖出比例=1.2%
[03:56:43] 价格$0.00755382  流动性$196,846(峰值$196,846)  已存档300笔逐笔
[03:57:44] 价格$0.00755382  流动性$196,846(峰值$196,846)  已存档300笔逐笔
[03:58:45] 价格$0.00761565  流动性$197,846(峰值$197,846)  已存档300笔逐笔
[03:59:46] 价格$0.00761565  流动性$197,846(峰值$197,846)  已存档300笔逐笔
[04:00:47] 价格$0.00760126  流动性$198,266(峰值$198,266)  已存档300笔逐笔  操盘方卖出比例=1.2%
[04:01:48] 价格$0.00760126  流动性$198,266(峰值$198,266)  已存档300笔逐笔
[04:02:50] 价格$0.00766896  流动性$198,625(峰值$198,625)  已存档300笔逐笔
[04:03:51] 价格$0.00767692  流动性$198,821(峰值$198,821)  已存档300笔逐笔
[04:04:52] 价格$0.00768827  流动性$198,996(峰值$198,996)  已存档300笔逐笔
[04:05:54] 价格$0.00769293  流动性$199,004(峰值$199,004)  已存档300笔逐笔  操盘方卖出比例=1.1%
[04:06:55] 价格$0.00769293  流动性$199,004(峰值$199,004)  已存档300笔逐笔
[04:07:56] 价格$0.00775844  流动性$199,356(峰值$199,356)  已存档300笔逐笔
[04:08:57] 价格$0.00775650  流动性$199,956(峰值$199,956)  已存档300笔逐笔
[04:09:58] 价格$0.00777878  流动性$199,742(峰值$199,956)  已存档300笔逐笔
[04:11:00] 价格$0.00780635  流动性$200,101(峰值$200,101)  已存档300笔逐笔  操盘方卖出比例=1.2%
[04:12:01] 价格$0.00782343  流动性$200,837(峰值$200,837)  已存档300笔逐笔
[04:13:02] 价格$0.00784265  流动性$200,518(峰值$200,837)  已存档300笔逐笔
[04:14:03] 价格$0.00786056  流动性$201,242(峰值$201,242)  已存档300笔逐笔
[04:15:07] 价格$0.00786056  流动性$201,242(峰值$201,242)  已存档300笔逐笔
[04:16:09] 价格$0.00782900  流动性$201,512(峰值$201,512)  已存档300笔逐笔  操盘方卖出比例=1.2%
[04:17:10] 价格$0.00783654  流动性$201,085(峰值$201,512)  已存档300笔逐笔
[04:18:11] 价格$0.00783654  流动性$201,085(峰值$201,512)  已存档300笔逐笔
[04:19:12] 价格$0.00787218  流动性$201,247(峰值$201,512)  已存档300笔逐笔
[04:20:14] 价格$0.00787925  流动性$201,929(峰值$201,929)  已存档300笔逐笔
[04:21:15] 价格$0.00787925  流动性$201,929(峰值$201,929)  已存档300笔逐笔  操盘方卖出比例=1.2%
[04:22:16] 价格$0.00797917  流动性$202,350(峰值$202,350)  已存档300笔逐笔
[04:23:17] 价格$0.00794793  流动性$202,872(峰值$202,872)  已存档300笔逐笔
[04:24:18] 价格$0.00798912  流动性$203,298(峰值$203,298)  已存档300笔逐笔
[04:25:19] 价格$0.00805092  流动性$203,114(峰值$203,298)  已存档300笔逐笔
[04:26:20] 价格$0.00807696  流动性$203,861(峰值$203,861)  已存档300笔逐笔  操盘方卖出比例=1.1%
[04:27:21] 价格$0.00808963  流动性$204,197(峰值$204,197)  已存档300笔逐笔
[04:28:23] 价格$0.00806018  流动性$204,125(峰值$204,197)  已存档300笔逐笔
[04:29:24] 价格$0.00807080  流动性$204,463(峰值$204,463)  已存档300笔逐笔
[04:30:24] 价格$0.00807080  流动性$204,463(峰值$204,463)  已存档300笔逐笔
[04:31:25] 价格$0.00815587  流动性$204,377(峰值$204,463)  已存档300笔逐笔  操盘方卖出比例=1.2%
[04:32:26] 价格$0.00815587  流动性$204,377(峰值$204,463)  已存档300笔逐笔
[04:33:27] 价格$0.00811259  流动性$204,078(峰值$204,463)  已存档300笔逐笔
[04:34:28] 价格$0.00811688  流动性$204,913(峰值$204,913)  已存档300笔逐笔
[04:35:29] 价格$0.00813592  流动性$204,555(峰值$204,913)  已存档300笔逐笔
[04:36:30] 价格$0.00813592  流动性$204,555(峰值$204,913)  已存档300笔逐笔  操盘方卖出比例=1.1%
[04:37:31] 价格$0.00816586  流动性$205,422(峰值$205,422)  已存档300笔逐笔
[04:38:32] 价格$0.00821954  流动性$205,629(峰值$205,629)  已存档300笔逐笔
[04:39:33] 价格$0.00822136  流动性$205,547(峰值$205,629)  已存档300笔逐笔
