[12:36:30] === 2n6RysqZ 高密度崩盘取证监控启动 ===
[12:36:31] 基线: 价格$0.52154624 流动性$123,481
[12:37:31] 价格$0.53615816  流动性$124,960(峰值$124,960)  已存档300笔逐笔  卖出比例=查不到
[12:38:32] 价格$0.54991086  流动性$126,934(峰值$126,934)  已存档135笔逐笔
[12:39:33] 价格$0.56003115  流动性$127,883(峰值$127,883)  已存档94笔逐笔
[12:40:33] 价格$0.57655583  流动性$129,602(峰值$129,602)  已存档89笔逐笔
[12:41:34] 价格$0.59104297  流动性$131,470(峰值$131,470)  已存档93笔逐笔
[12:42:35] 价格$0.60313861  流动性$132,850(峰值$132,850)  已存档94笔逐笔  操盘方卖出比例=100.0%
[12:43:36] 价格$0.60313861  流动性$132,850(峰值$132,850)  已存档98笔逐笔
[12:44:37] 价格$0.63137156  流动性$135,659(峰值$135,659)  已存档102笔逐笔
[12:45:38] 价格$0.64689303  流动性$137,527(峰值$137,527)  已存档95笔逐笔
