[19:32:33] === LV3tr8C5 高密度崩盘取证监控启动 ===
[19:32:33] 基线: 价格$0.00002711 流动性$20,881
[20:38:49] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:39:50] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:40:50] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:41:50] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:42:51] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:43:51] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:44:52] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:45:52] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:46:53] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:47:53] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:48:54] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:49:54] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:50:55] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:51:55] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:52:55] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:53:56] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:54:56] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:55:57] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:56:57] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:57:58] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:58:58] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:59:59] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:00:59] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:02:00] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:03:00] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
