[14:54:30] === 5riT6m17 高密度崩盘取证监控启动 ===
[14:54:31] 基线: 价格$0.00063281 流动性$55,866
[16:00:51] 价格$0.00071945  流动性$59,764(峰值$59,804)  已存档17笔逐笔  操盘方卖出比例=84.5%
[16:01:52] 价格$0.00072123  流动性$59,491(峰值$59,804)  已存档18笔逐笔
[16:02:53] 价格$0.00072702  流动性$59,827(峰值$59,827)  已存档19笔逐笔
[16:03:54] 价格$0.00072124  流动性$59,938(峰值$59,938)  已存档16笔逐笔
[16:04:55] 价格$0.00072124  流动性$59,938(峰值$59,938)  已存档21笔逐笔
[16:05:56] 价格$0.00072656  流动性$59,938(峰值$59,938)  已存档15笔逐笔  操盘方卖出比例=84.9%
[16:06:57] 价格$0.00071518  流动性$59,580(峰值$59,938)  已存档21笔逐笔
[16:07:58] 价格$0.00072057  流动性$59,589(峰值$59,938)  已存档17笔逐笔
[16:08:59] 价格$0.00071666  流动性$59,746(峰值$59,938)  已存档19笔逐笔
[16:09:59] 价格$0.00071666  流动性$59,746(峰值$59,938)  已存档17笔逐笔
[16:11:01] 价格$0.00072108  流动性$59,672(峰值$59,938)  已存档17笔逐笔  操盘方卖出比例=84.9%
[16:12:01] 价格$0.00072008  流动性$59,953(峰值$59,953)  已存档18笔逐笔
[16:13:02] 价格$0.00072008  流动性$59,953(峰值$59,953)  已存档18笔逐笔
[16:14:02] 价格$0.00073421  流动性$60,271(峰值$60,271)  已存档18笔逐笔
[16:15:04] 价格$0.00073153  流动性$60,315(峰值$60,315)  已存档18笔逐笔
[16:16:05] 价格$0.00073447  流动性$60,268(峰值$60,315)  已存档18笔逐笔  操盘方卖出比例=84.8%
[16:17:05] 价格$0.00073722  流动性$60,498(峰值$60,498)  已存档18笔逐笔
[16:18:06] 价格$0.00073679  流动性$60,168(峰值$60,498)  已存档18笔逐笔
[16:19:08] 价格$0.00073679  流动性$60,168(峰值$60,498)  已存档18笔逐笔
[16:20:09] 价格$0.00074660  流动性$60,892(峰值$60,892)  已存档19笔逐笔
[16:21:10] 价格$0.00073503  流动性$60,924(峰值$60,924)  已存档17笔逐笔  操盘方卖出比例=85.2%
[16:22:10] 价格$0.00073867  流动性$60,631(峰值$60,924)  已存档20笔逐笔
[16:23:11] 价格$0.00073728  流动性$60,362(峰值$60,924)  已存档17笔逐笔
[16:24:12] 价格$0.00073339  流动性$60,457(峰值$60,924)  已存档18笔逐笔
[16:25:13] 价格$0.00073661  流动性$60,345(峰值$60,924)  已存档19笔逐笔
[16:26:14] 价格$0.00073661  流动性$60,345(峰值$60,924)  已存档14笔逐笔  操盘方卖出比例=85.2%
[16:27:15] 价格$0.00073983  流动性$60,708(峰值$60,924)  已存档20笔逐笔
[16:28:16] 价格$0.00073983  流动性$60,708(峰值$60,924)  已存档20笔逐笔
[16:29:17] 价格$0.00074783  流动性$61,290(峰值$61,290)  已存档18笔逐笔
[16:30:18] 价格$0.00074783  流动性$61,290(峰值$61,290)  已存档16笔逐笔
[16:31:19] 价格$0.00075354  流动性$61,246(峰值$61,290)  已存档19笔逐笔  操盘方卖出比例=85.2%
[16:32:19] 价格$0.00075354  流动性$61,246(峰值$61,290)  已存档19笔逐笔
[16:33:20] 价格$0.00075483  流动性$61,411(峰值$61,411)  已存档19笔逐笔
[16:34:20] 价格$0.00075661  流动性$61,305(峰值$61,411)  已存档18笔逐笔
[16:35:22] 价格$0.00075691  流动性$61,116(峰值$61,411)  已存档18笔逐笔
[16:36:25] 价格$0.00075014  流动性$61,057(峰值$61,411)  已存档17笔逐笔  操盘方卖出比例=85.2%
[16:37:26] 价格$0.00075014  流动性$61,057(峰值$61,411)  已存档20笔逐笔
[16:38:26] 价格$0.00074622  流动性$61,098(峰值$61,411)  已存档18笔逐笔
[16:39:28] 价格$0.00075229  流动性$61,069(峰值$61,411)  已存档18笔逐笔
[16:40:29] 价格$0.00075229  流动性$61,069(峰值$61,411)  已存档19笔逐笔
[16:41:29] 价格$0.00074650  流动性$60,987(峰值$61,411)  已存档16笔逐笔  操盘方卖出比例=85.2%
[16:42:30] 价格$0.00074889  流动性$60,987(峰值$61,411)  已存档20笔逐笔
[16:43:31] 价格$0.00075071  流动性$61,081(峰值$61,411)  已存档18笔逐笔
[16:44:32] 价格$0.00076244  流动性$61,332(峰值$61,411)  已存档15笔逐笔
[16:45:33] 价格$0.00076244  流动性$61,332(峰值$61,411)  已存档19笔逐笔
[16:46:34] 价格$0.00075952  流动性$61,698(峰值$61,698)  已存档18笔逐笔  操盘方卖出比例=85.2%
[16:47:35] 价格$0.00076583  流动性$61,414(峰值$61,698)  已存档18笔逐笔
[16:48:36] 价格$0.00076655  流动性$61,636(峰值$61,698)  已存档16笔逐笔
[16:49:37] 价格$0.00076573  流动性$61,832(峰值$61,832)  已存档19笔逐笔
[16:50:38] 价格$0.00076573  流动性$61,832(峰值$61,832)  已存档16笔逐笔
[16:51:39] 价格$0.00075042  流动性$61,009(峰值$61,832)  已存档20笔逐笔  操盘方卖出比例=85.2%
[16:52:40] 价格$0.00074677  流动性$60,718(峰值$61,832)  已存档17笔逐笔
[16:53:41] 价格$0.00074783  流动性$60,974(峰值$61,832)  已存档17笔逐笔
[16:54:42] 价格$0.00074679  流动性$61,023(峰值$61,832)  已存档16笔逐笔
[16:55:43] 价格$0.00074447  流动性$60,601(峰值$61,832)  已存档18笔逐笔
[16:56:44] 价格$0.00074554  流动性$60,970(峰值$61,832)  已存档15笔逐笔  操盘方卖出比例=85.2%
[16:57:45] 价格$0.00073683  流动性$61,133(峰值$61,832)  已存档21笔逐笔
[16:58:45] 价格$0.00075441  流动性$61,379(峰值$61,832)  已存档17笔逐笔
[16:59:46] 价格$0.00075730  流动性$61,290(峰值$61,832)  已存档17笔逐笔
[17:00:46] 价格$0.00075489  流动性$61,487(峰值$61,832)  已存档19笔逐笔
[17:01:47] 价格$0.00075414  流动性$61,447(峰值$61,832)  已存档15笔逐笔  操盘方卖出比例=85.2%
[17:02:48] 价格$0.00075677  流动性$61,340(峰值$61,832)  已存档18笔逐笔
[17:03:49] 价格$0.00075811  流动性$61,566(峰值$61,832)  已存档18笔逐笔
[17:04:49] 价格$0.00075811  流动性$61,566(峰值$61,832)  已存档15笔逐笔
[17:05:50] 价格$0.00076199  流动性$61,610(峰值$61,832)  已存档18笔逐笔
[17:06:51] 价格$0.00076199  流动性$61,610(峰值$61,832)  已存档19笔逐笔  操盘方卖出比例=85.2%
[17:07:52] 价格$0.00075132  流动性$61,221(峰值$61,832)  已存档18笔逐笔
[17:08:53] 价格$0.00075132  流动性$61,221(峰值$61,832)  已存档17笔逐笔
[17:09:54] 价格$0.00075281  流动性$61,377(峰值$61,832)  已存档18笔逐笔
[17:10:55] 价格$0.00075471  流动性$61,285(峰值$61,832)  已存档19笔逐笔
[17:11:56] 价格$0.00075599  流动性$61,316(峰值$61,832)  已存档15笔逐笔  操盘方卖出比例=85.2%
[17:12:56] 价格$0.00075599  流动性$61,316(峰值$61,832)  已存档20笔逐笔
[17:13:57] 价格$0.00075925  流动性$61,291(峰值$61,832)  已存档18笔逐笔
[17:14:58] 价格$0.00075796  流动性$61,545(峰值$61,832)  已存档18笔逐笔
[17:15:58] 价格$0.00075796  流动性$61,545(峰值$61,832)  已存档18笔逐笔
[17:17:00] 价格$0.00075555  流动性$61,360(峰值$61,832)  已存档16笔逐笔  操盘方卖出比例=85.2%
[17:18:01] 价格$0.00075555  流动性$61,360(峰值$61,832)  已存档20笔逐笔
[17:19:02] 价格$0.00075871  流动性$61,834(峰值$61,834)  已存档16笔逐笔
[17:20:03] 价格$0.00076239  流动性$61,767(峰值$61,834)  已存档15笔逐笔
[17:21:04] 价格$0.00075123  流动性$61,858(峰值$61,858)  已存档19笔逐笔
[17:22:05] 价格$0.00075123  流动性$61,858(峰值$61,858)  已存档16笔逐笔  操盘方卖出比例=85.2%
[17:23:06] 价格$0.00075373  流动性$61,251(峰值$61,858)  已存档19笔逐笔
