[14:21:31] === 94G7znVa 高密度崩盘取证监控启动 ===
[14:21:32] 基线: 价格$0.00119665 流动性$77,439
[15:27:53] 价格$0.00366343  流动性$136,679(峰值$137,063)  已存档10笔逐笔  操盘方卖出比例=5.1%
[15:28:54] 价格$0.00378533  流动性$137,871(峰值$137,871)  已存档10笔逐笔
[15:29:55] 价格$0.00379146  流动性$138,992(峰值$138,992)  已存档2笔逐笔
[15:30:56] 价格$0.00379146  流动性$138,992(峰值$138,992)  已存档14笔逐笔
[15:31:56] 价格$0.00393915  流动性$140,388(峰值$140,388)  已存档7笔逐笔
[15:32:57] 价格$0.00401195  流动性$142,151(峰值$142,151)  已存档5笔逐笔  操盘方卖出比例=4.9%
[15:33:58] 价格$0.00409759  流动性$143,110(峰值$143,110)  已存档8笔逐笔
[15:34:59] 价格$0.00409759  流动性$143,110(峰值$143,110)  已存档10笔逐笔
[15:35:59] 价格$0.00414023  流动性$144,223(峰值$144,223)  已存档7笔逐笔
[15:37:00] 价格$0.00420342  流动性$145,193(峰值$145,193)  已存档5笔逐笔
[15:38:01] 价格$0.00420342  流动性$145,193(峰值$145,193)  已存档9笔逐笔  操盘方卖出比例=4.9%
[15:39:02] 价格$0.00427020  流动性$148,182(峰值$148,182)  已存档8笔逐笔
[15:40:04] 价格$0.00431627  流动性$147,532(峰值$148,182)  已存档6笔逐笔
[15:41:04] 价格$0.00431627  流动性$147,532(峰值$148,182)  已存档6笔逐笔
[15:42:05] 价格$0.00440553  流动性$149,439(峰值$149,439)  已存档4笔逐笔
[15:43:06] 价格$0.00450717  流动性$150,588(峰值$150,588)  已存档7笔逐笔  操盘方卖出比例=5.1%
[15:44:07] 价格$0.00459641  流动性$151,816(峰值$151,816)  已存档6笔逐笔
[15:45:08] 价格$0.00459641  流动性$151,816(峰值$151,816)  已存档9笔逐笔
[15:46:08] 价格$0.00470461  流动性$154,432(峰值$154,432)  已存档4笔逐笔
[15:47:10] 价格$0.00479037  流动性$155,835(峰值$155,835)  已存档9笔逐笔
[15:48:10] 价格$0.00479037  流动性$155,835(峰值$155,835)  已存档4笔逐笔  操盘方卖出比例=5.2%
[15:49:11] 价格$0.00490461  流动性$157,280(峰值$157,280)  已存档6笔逐笔
[15:50:12] 价格$0.00490461  流动性$157,280(峰值$157,280)  已存档4笔逐笔
[15:51:13] 价格$0.00484582  流动性$157,664(峰值$157,664)  已存档1笔逐笔
[15:52:14] 价格$0.00484417  流动性$157,969(峰值$157,969)  已存档5笔逐笔
