[16:21:32] === BTNwwXTL 高密度崩盘取证监控启动 ===
[16:21:32] 基线: 价格$0.00007967 流动性$19,871
[17:27:55] 价格$0.00096117  流动性$79,784(峰值$90,641)  已存档121笔逐笔  操盘方卖出比例=82.4%
[17:28:56] 价格$0.00094924  流动性$80,290(峰值$90,641)  已存档106笔逐笔
[17:29:57] 价格$0.00087748  流动性$76,165(峰值$90,641)  已存档192笔逐笔
[17:30:58] 价格$0.00084744  流动性$76,802(峰值$90,641)  已存档272笔逐笔
[17:31:58] 价格$0.00087604  流动性$76,769(峰值$90,641)  已存档268笔逐笔
[17:32:59] 价格$0.00085497  流动性$77,605(峰值$90,641)  已存档146笔逐笔  操盘方卖出比例=82.8%
[17:34:00] 价格$0.00088199  流动性$77,646(峰值$90,641)  已存档178笔逐笔
[17:35:00] 价格$0.00088472  流动性$77,901(峰值$90,641)  已存档126笔逐笔
[17:36:01] 价格$0.00088472  流动性$77,901(峰值$90,641)  已存档173笔逐笔
[17:37:02] 价格$0.00096348  流动性$80,092(峰值$90,641)  已存档158笔逐笔
[17:38:03] 价格$0.00098277  流动性$80,572(峰值$90,641)  已存档96笔逐笔  操盘方卖出比例=82.8%
[17:39:04] 价格$0.00083875  流动性$73,355(峰值$90,641)  已存档283笔逐笔
[17:40:04] 价格$0.00085467  流动性$77,500(峰值$90,641)  已存档178笔逐笔
[17:41:05] 价格$0.00089683  流动性$76,567(峰值$90,641)  已存档110笔逐笔
[17:42:06] 价格$0.00084020  流动性$72,944(峰值$90,641)  已存档169笔逐笔
[17:43:07] 价格$0.00079465  流动性$71,764(峰值$90,641)  已存档300笔逐笔  操盘方卖出比例=83.7%
[17:44:07] 价格$0.00080643  流动性$73,611(峰值$90,641)  已存档157笔逐笔
[17:45:08] 价格$0.00086021  流动性$74,427(峰值$90,641)  已存档138笔逐笔
[17:46:09] 价格$0.00088098  流动性$75,574(峰值$90,641)  已存档117笔逐笔
[17:47:09] 价格$0.00085981  流动性$76,378(峰值$90,641)  已存档93笔逐笔
[17:48:10] 价格$0.00088551  流动性$76,420(峰值$90,641)  已存档82笔逐笔  操盘方卖出比例=84.6%
[17:49:11] 价格$0.00082335  流动性$77,180(峰值$90,641)  已存档106笔逐笔
[17:50:11] 价格$0.00080329  流动性$71,731(峰值$90,641)  已存档170笔逐笔
[17:51:12] 价格$0.00075965  流动性$70,603(峰值$90,641)  已存档164笔逐笔
[17:52:13] 价格$0.00071508  流动性$68,179(峰值$90,641)  已存档298笔逐笔
[17:53:13] 价格$0.00073980  流动性$70,911(峰值$90,641)  已存档146笔逐笔  操盘方卖出比例=85.6%
[17:54:15] 价格$0.00079900  流动性$72,018(峰值$90,641)  已存档176笔逐笔
[17:55:16] 价格$0.00079900  流动性$72,018(峰值$90,641)  已存档117笔逐笔
[17:56:16] 价格$0.00076304  流动性$69,734(峰值$90,641)  已存档128笔逐笔
[17:57:17] 价格$0.00074847  流动性$69,009(峰值$90,641)  已存档87笔逐笔
[17:58:19] 价格$0.00074847  流动性$69,009(峰值$90,641)  已存档104笔逐笔  操盘方卖出比例=85.7%
[17:59:20] 价格$0.00080831  流动性$73,539(峰值$90,641)  已存档118笔逐笔
[18:00:21] 价格$0.00080454  流动性$74,358(峰值$90,641)  已存档89笔逐笔
[18:01:22] 价格$0.00079523  流动性$71,201(峰值$90,641)  已存档90笔逐笔
[18:02:22] 价格$0.00078747  流动性$73,718(峰值$90,641)  已存档72笔逐笔
[18:03:25] 价格$0.00078747  流动性$73,718(峰值$90,641)  已存档69笔逐笔  操盘方卖出比例=85.5%
[18:04:26] 价格$0.00071355  流动性$70,717(峰值$90,641)  已存档100笔逐笔
[18:05:27] 价格$0.00070703  流动性$69,056(峰值$90,641)  已存档240笔逐笔
[18:06:27] 价格$0.00063431  流动性$63,899(峰值$90,641)  已存档300笔逐笔
[18:07:28] 价格$0.00063431  流动性$63,899(峰值$90,641)  已存档292笔逐笔
[18:08:29] 价格$0.00062683  流动性$65,858(峰值$90,641)  已存档175笔逐笔  操盘方卖出比例=87.3%
[18:09:30] 价格$0.00060259  流动性$62,520(峰值$90,641)  已存档226笔逐笔
[18:10:31] 价格$0.00063400  流动性$65,319(峰值$90,641)  已存档146笔逐笔
[18:11:32] 价格$0.00063400  流动性$65,319(峰值$90,641)  已存档145笔逐笔
[18:12:33] 价格$0.00065355  流动性$67,639(峰值$90,641)  已存档133笔逐笔
[18:13:33] 价格$0.00065355  流动性$67,639(峰值$90,641)  已存档82笔逐笔  操盘方卖出比例=87.3%
[18:14:34] 价格$0.00064196  流动性$64,750(峰值$90,641)  已存档86笔逐笔
[18:15:35] 价格$0.00064196  流动性$64,750(峰值$90,641)  已存档107笔逐笔
[18:16:36] 价格$0.00067969  流动性$67,167(峰值$90,641)  已存档70笔逐笔
[18:17:36] 价格$0.00068720  流动性$67,980(峰值$90,641)  已存档89笔逐笔
[18:18:37] 价格$0.00070682  流动性$68,700(峰值$90,641)  已存档92笔逐笔  操盘方卖出比例=86.7%
[18:19:38] 价格$0.00070682  流动性$68,700(峰值$90,641)  已存档81笔逐笔
[18:20:39] 价格$0.00067019  流动性$69,077(峰值$90,641)  已存档77笔逐笔
[18:21:40] 价格$0.00069383  流动性$69,788(峰值$90,641)  已存档69笔逐笔
[18:22:40] 价格$0.00070455  流动性$69,759(峰值$90,641)  已存档53笔逐笔
[18:23:41] 价格$0.00071095  流动性$69,683(峰值$90,641)  已存档108笔逐笔  操盘方卖出比例=86.8%
[18:24:41] 价格$0.00069681  流动性$69,844(峰值$90,641)  已存档57笔逐笔
[18:25:42] 价格$0.00070802  流动性$67,186(峰值$90,641)  已存档49笔逐笔
[18:26:43] 价格$0.00067913  流动性$67,247(峰值$90,641)  已存档75笔逐笔
[18:27:44] 价格$0.00067913  流动性$67,247(峰值$90,641)  已存档73笔逐笔
[18:28:44] 价格$0.00065971  流动性$65,549(峰值$90,641)  已存档87笔逐笔  操盘方卖出比例=86.7%
[18:29:45] 价格$0.00064978  流动性$65,103(峰值$90,641)  已存档94笔逐笔
[18:30:46] 价格$0.00062717  流动性$63,574(峰值$90,641)  已存档130笔逐笔
[18:31:46] 价格$0.00063670  流动性$63,629(峰值$90,641)  已存档63笔逐笔
[18:32:47] 价格$0.00064272  流动性$67,148(峰值$90,641)  已存档153笔逐笔
[18:33:48] 价格$0.00064272  流动性$67,148(峰值$90,641)  已存档74笔逐笔  操盘方卖出比例=86.7%
[18:34:49] 价格$0.00067831  流动性$67,441(峰值$90,641)  已存档76笔逐笔
[18:35:50] 价格$0.00067831  流动性$67,441(峰值$90,641)  已存档91笔逐笔
[18:36:51] 价格$0.00065865  流动性$68,503(峰值$90,641)  已存档53笔逐笔
[18:37:51] 价格$0.00065141  流动性$65,629(峰值$90,641)  已存档45笔逐笔
[18:38:52] 价格$0.00070253  流动性$68,502(峰值$90,641)  已存档92笔逐笔  操盘方卖出比例=86.7%
[18:39:53] 价格$0.00076444  流动性$73,507(峰值$90,641)  已存档253笔逐笔
[18:40:53] 价格$0.00078189  流动性$71,649(峰值$90,641)  已存档181笔逐笔
[18:41:54] 价格$0.00089003  流动性$75,026(峰值$90,641)  已存档267笔逐笔
